STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-01,  10.9,24,000000,, 22.9,,  39.0, ,  15.1, , 18.1,, 0.00,G,1025.5,24,999.9,,006.8,24,  26.1,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-02,  25.3,24,000000,,999.9,,  39.0, ,  18.0, ,  8.9,, 0.00,G,1026.4,22,999.9,,007.9,24,  33.3,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-03,  39.9,24,010010,, 25.1,,  61.0, ,  26.1, , 15.9,, 0.42,G,1020.4,13,999.9,,000.7,24,  41.8,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-04,  45.9,24,010000,, 28.9,,  61.0, ,  35.1, , 18.1,, 0.61,G,1013.2,16,999.9,,994.2,24,  50.0,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-05,   8.9,24,001000,, 27.0,,  33.1,*,  14.0,*, 19.0,, 0.04,G,1034.9,22,999.9,,016.0,24,  20.2,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-06,  14.8,24,001000,, 19.0,,  28.4,*,  18.0,*,  9.9,, 0.01,G,1028.1,21,999.9,,009.3,24,  22.2,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-07,   3.2,24,001000,, 26.0,,  28.0, ,   7.0, , 18.1,, 0.00,H,1032.6,21,999.9,,013.1,24,  14.6,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-08,  -5.1,24,000000,, 22.9,,  19.0, ,  -0.9, , 15.0,, 0.00,G,1036.1,21,999.9,,017.4,24,   6.1,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-09,   3.7,24,001000,, 29.9,,  26.1,*,  16.0,*, 20.0,, 0.00,G,1024.0,23,999.9,,005.1,24,  20.9,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-10,  -1.7,24,000000,, 15.9,,  26.1, ,  -0.0, ,  9.9,, 0.00,G,1035.6,24,999.9,,016.4,24,  12.0,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-11,  12.0,24,010000,,999.9,,  39.0, ,  -0.0, ,  5.1,, 0.00,G,1031.7,24,999.9,,012.7,24,  25.1,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-12,  32.5,24,110000,,999.9,,  37.4,*,  32.0,*, 13.0,, 0.30,G,1027.3,13,999.9,,008.0,24,  34.0,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-13,  16.2,24,000000,, 20.0,,  37.9, ,  21.0, , 14.0,, 0.05,G,1034.8,24,999.9,,016.0,24,  25.5,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-14,  13.6,24,001000,,999.9,,  28.4,*,  19.0,*,  7.0,, 0.00,G,1029.6,22,999.9,,010.7,24,  22.2,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2015-01-15,  16.8,24,000000,,999.9,,  39.9, ,  19.0, ,  8.9,, 0.00,G,1023.7,24,999.9,,005.0,24,  27.6,24
